X,Y,address,adm1_boundary,adm2_boundary
91.0987496,23.4662501,কুমিল্লা সদর,Chittagong,Comilla
90.957083,23.6329168,"Gumti Barrage RD, Muradnagar, BGD",Chittagong,Comilla
91.007083,23.4829168,চান্দিনা,Chittagong,Comilla
91.107083,23.4662501,কুমিল্লা সদর,Chittagong,Comilla
90.982083,23.6579168,"গুঞ্জর, মুরাদনগর",Chittagong,Comilla
91.007083,23.6662501,দেবিদ্বার,Chittagong,Comilla
90.982083,23.4829168,চান্দিনা,Chittagong,Comilla
91.0987496,23.4912501,বুড়িচং,Chittagong,Comilla
91.1487496,23.6412501,ব্রাহ্মনপাড়া,Chittagong,Comilla
90.9237496,23.6412501,মুরাদনগর,Chittagong,Comilla
91.007083,23.4745834,চান্দিনা,Chittagong,Comilla
90.8987496,23.4995834,চান্দিনা,Chittagong,Comilla
91.0654163,23.4745834,বুড়িচং,Chittagong,Comilla
90.9487496,23.6579168,মুরাদনগর,Chittagong,Comilla
91.1487496,23.6245834,"B. Para Main Road, Brahmanpara, BGD",Chittagong,Comilla
91.032083,23.4829168,"ঢাকা-চিটাগাং হাইওয়ে, চান্দিনা",Chittagong,Comilla
90.957083,23.4912501,চান্দিনা,Chittagong,Comilla
90.9237496,23.6245834,মুরাদনগর,Chittagong,Comilla
90.832083,23.5829168,তিতাস,Chittagong,Comilla
91.057083,23.3662501,বরুড়া,Chittagong,Comilla
90.982083,23.7079168,মুরাদনগর,Chittagong,Comilla
90.857083,23.5079168,দাউদকান্দি,Chittagong,Comilla
91.157083,23.6079168,বুড়িচং,Chittagong,Comilla
90.9654163,23.6329168,"Gumti Barrage RD, Muradnagar, BGD",Chittagong,Comilla
91.1154163,23.4745834,কুমিল্লা সদর,Chittagong,Comilla
90.957083,23.5079168,দেবিদ্বার,Chittagong,Comilla
90.8404163,23.5912501,তিতাস,Chittagong,Comilla
90.8654163,23.6329168,মুরাদনগর,Chittagong,Comilla
90.957083,23.4995834,"ঢাকা-চিটাগাং হাইওয়ে, চান্দিনা",Chittagong,Comilla
90.982083,23.5995834,দেবিদ্বার,Chittagong,Comilla
91.0404163,23.4662501,বরুড়া,Chittagong,Comilla
91.107083,23.4829168,বুড়িচং,Chittagong,Comilla
90.9237496,23.4995834,চান্দিনা,Chittagong,Comilla
91.0654163,23.3829168,বরুড়া,Chittagong,Comilla
91.1154163,23.4912501,বুড়িচং,Chittagong,Comilla
90.882083,23.5079168,দাউদকান্দি,Chittagong,Comilla
91.107083,23.4912501,বুড়িচং,Chittagong,Comilla
91.0154163,23.4829168,"Chandina Road, Chandina, BGD",Chittagong,Comilla
90.8737496,23.5162501,দাউদকান্দি,Chittagong,Comilla
91.1237496,23.5412501,বুড়িচং,Chittagong,Comilla
91.0154163,23.4995834,দেবিদ্বার,Chittagong,Comilla
91.0154163,23.6579168,দেবিদ্বার,Chittagong,Comilla
91.132083,23.5495834,বুড়িচং,Chittagong,Comilla
90.9987496,23.4912501,চান্দিনা,Chittagong,Comilla
90.932083,23.6329168,মুরাদনগর,Chittagong,Comilla
90.9904163,23.4829168,চান্দিনা,Chittagong,Comilla
91.1487496,23.6329168,ব্রাহ্মনপাড়া,Chittagong,Comilla
91.0987496,23.6162501,ব্রাহ্মনপাড়া,Chittagong,Comilla
90.982083,23.4912501,চান্দিনা,Chittagong,Comilla
90.782083,23.5662501,তিতাস,Chittagong,Comilla
90.9404163,23.6412501,মুরাদনগর,Chittagong,Comilla
92.2987496,20.8495834,টেকনাফ,Chittagong,Cox's Bazar
91.8654163,21.8495834,কুতুবদিয়া,Chittagong,Cox's Bazar
92.282083,20.8662501,টেকনাফ,Chittagong,Cox's Bazar
92.2987496,20.8162501,টেকনাফ,Chittagong,Cox's Bazar
91.8654163,21.8662501,কুতুবদিয়া,Chittagong,Cox's Bazar
92.2987496,20.8412501,টেকনাফ,Chittagong,Cox's Bazar
92.2737496,20.8579168,টেকনাফ,Chittagong,Cox's Bazar
91.8654163,21.8579168,কুতুবদিয়া,Chittagong,Cox's Bazar
91.857083,21.8579168,কুতুবদিয়া,Chittagong,Cox's Bazar
92.2987496,20.8745834,"কক্স বাজ়ার-টেকনাফ হাইওয়ে, টেকনাফ",Chittagong,Cox's Bazar
92.2987496,20.8662501,"কক্স বাজ়ার-টেকনাফ হাইওয়ে, টেকনাফ",Chittagong,Cox's Bazar
92.257083,20.9579168,টেকনাফ,Chittagong,Cox's Bazar
90.4904163,23.7412501,ঢাকা,Dhaka,Dhaka
90.3904163,23.7245834,ঢাকা,Dhaka,Dhaka
90.3487496,23.7079168,কেরানীগঞ্জ,Dhaka,Dhaka
90.2154163,23.6495834,নওয়াবগঞ্জ,Dhaka,Dhaka
90.407083,23.7495834,"অর্টারসার্কুলার রোড, গাবতলা, ঢাকা",Dhaka,Dhaka
90.1487496,23.6579168,নওয়াবগঞ্জ,Dhaka,Dhaka
90.3904163,23.7329168,"নীলখেত রোড, ঢাকা ইউনিভার্সিটি এরিয়া, ঢাকা",Dhaka,Dhaka
90.1737496,23.5829168,দোহার,Dhaka,Dhaka
90.257083,23.7245834,কেরানীগঞ্জ,Dhaka,Dhaka
90.107083,23.9245834,ধামরাই,Dhaka,Dhaka
90.0904163,23.5912501,দোহার,Dhaka,Dhaka
90.1404163,23.6329168,দোহার,Dhaka,Dhaka
90.2904163,23.7079168,কেরানীগঞ্জ,Dhaka,Dhaka
90.382083,23.7245834,ঢাকা,Dhaka,Dhaka
90.1154163,23.6079168,দোহার,Dhaka,Dhaka
90.2737496,23.7329168,"Kaltia Bazaar Road, Keraniganj, BGD",Dhaka,Dhaka
90.1737496,23.6495834,নওয়াবগঞ্জ,Dhaka,Dhaka
90.3737496,23.7245834,ঢাকা,Dhaka,Dhaka
90.3654163,23.6579168,কেরানীগঞ্জ,Dhaka,Dhaka
90.132083,23.6245834,দোহার,Dhaka,Dhaka
90.282083,23.7245834,কেরানীগঞ্জ,Dhaka,Dhaka
90.432083,23.7912501,"খিলবাড়ী টেক, ক্ষীলবাড়ী টেক, ঢাকা",Dhaka,Dhaka
90.257083,23.7329168,কেরানীগঞ্জ,Dhaka,Dhaka
90.1987496,23.6662501,নওয়াবগঞ্জ,Dhaka,Dhaka
90.1487496,23.5829168,দোহার,Dhaka,Dhaka
90.1987496,23.6579168,নওয়াবগঞ্জ,Dhaka,Dhaka
90.2737496,23.7412501,সাভার,Dhaka,Dhaka
90.307083,23.6829168,"R820, Keraniganj, BGD",Dhaka,Dhaka
90.3404163,23.7245834,কেরানীগঞ্জ,Dhaka,Dhaka
90.3904163,23.6745834,কেরানীগঞ্জ,Dhaka,Dhaka
90.157083,23.5995834,দোহার,Dhaka,Dhaka
90.132083,23.6079168,দোহার,Dhaka,Dhaka
90.332083,23.7662501,সাভার,Dhaka,Dhaka
90.157083,23.5662501,দোহার,Dhaka,Dhaka
90.282083,23.7162501,কেরানীগঞ্জ,Dhaka,Dhaka
88.457083,25.7995834,বোচাগঞ্জ,Rangpur,Dinajpur
89.832083,23.5912501,"ফরিদপুর-ভাঙ্গা মহাসড়ক, ফরিদপুর",Dhaka,Faridpur
89.9737496,23.3745834,ভাঙ্গা,Dhaka,Faridpur
89.832083,23.6162501,ফরিদপুর,Dhaka,Faridpur
89.9737496,23.3912501,"Barisal Road, Bhanga, BGD",Dhaka,Faridpur
89.982083,23.3829168,"Shah Amanat Transport Service, Barisal Road, Bhanga, BGD",Dhaka,Faridpur
89.9737496,23.3995834,ভাঙ্গা,Dhaka,Faridpur
89.8654163,23.6162501,ফরিদপুর,Dhaka,Faridpur
89.7987497,23.5829168,"Dhaka-Khulna Mahasharak, Faridpur, BGD",Dhaka,Faridpur
89.857083,23.6245834,ফরিদপুর,Dhaka,Faridpur
89.807083,23.5829168,ফরিদপুর,Dhaka,Faridpur
89.7987497,23.5995834,ফরিদপুর,Dhaka,Faridpur
89.9654163,23.3829168,ভাঙ্গা,Dhaka,Faridpur
89.8237497,23.6079168,ফরিদপুর,Dhaka,Faridpur
89.8487497,23.6245834,ফরিদপুর,Dhaka,Faridpur
89.982083,23.3745834,ভাঙ্গা,Dhaka,Faridpur
91.3654163,23.0412501,"ঢাকা-চিটাগাং হাইওয়ে, ফেনী সদর",Chittagong,Feni
89.5487497,25.3162501,"Z5552, Gaibandha, BGD",Rangpur,Gaibandha
89.582083,25.1079168,সাঘাটা,Rangpur,Gaibandha
89.4904163,25.1079168,গোবিন্দগঞ্জ,Rangpur,Gaibandha
89.3404163,25.3412501,পীরগঞ্জ,Rangpur,Gaibandha
89.582083,25.1162501,সাঘাটা,Rangpur,Gaibandha
90.6154163,23.9995834,কালিগঞ্জ,Dhaka,Gazipur
90.4404163,24.1579168,গাজীপুর সদর,Dhaka,Gazipur
90.3987496,24.1912501,শ্রীপুর,Dhaka,Gazipur
90.432083,24.1329168,গাজীপুর সদর,Dhaka,Gazipur
90.4654163,24.1079168,শ্রীপুর,Dhaka,Gazipur
90.4404163,24.1495834,গাজীপুর সদর,Dhaka,Gazipur
90.432083,24.0162501,গাজীপুর সদর,Dhaka,Gazipur
90.3987496,24.1579168,শ্রীপুর,Dhaka,Gazipur
90.432083,24.0079168,গাজীপুর সদর,Dhaka,Gazipur
90.4154163,24.0995834,"R312, Gazipur Sadar, BGD",Dhaka,Gazipur
90.5654163,23.9412501,কালিগঞ্জ,Dhaka,Gazipur
90.5654163,24.1079168,"Z3025, Kapasia, BGD",Dhaka,Gazipur
90.432083,23.9995834,"Harinal Road, Gazipur, BGD",Dhaka,Gazipur
90.182083,24.0745834,কালিয়াকৈর,Dhaka,Gazipur
90.5737496,24.1245834,কাপাসিয়া,Dhaka,Gazipur
90.3737496,24.0079168,গাজীপুর সদর,Dhaka,Gazipur
90.4237496,24.1329168,গাজীপুর সদর,Dhaka,Gazipur
90.357083,24.0745834,গাজীপুর সদর,Dhaka,Gazipur
90.4154163,24.1995834,শ্রীপুর,Dhaka,Gazipur
90.3987496,24.0745834,গাজীপুর সদর,Dhaka,Gazipur
90.357083,24.0829168,গাজীপুর সদর,Dhaka,Gazipur
90.432083,24.0329168,গাজীপুর সদর,Dhaka,Gazipur
90.5904163,23.9245834,"Hospital Road, Kaliganj, BGD",Dhaka,Gazipur
90.5487496,23.9079168,রুপগঞ্জ,Dhaka,Gazipur
90.3737496,24.0495834,গাজীপুর সদর,Dhaka,Gazipur
90.4404163,24.1662501,"Z3009, Gazipur Sadar, BGD",Dhaka,Gazipur
90.5487496,23.9329168,"Kaliganj Road, Kaliganj, BGD",Dhaka,Gazipur
90.532083,24.2245834,শ্রীপুর,Dhaka,Gazipur
90.3487496,24.0412501,গাজীপুর সদর,Dhaka,Gazipur
